﻿SSID_MAC주소,SSID등록통신사,지하철역ID,지하철역명,지하철호선ID,WIFI신호세기
﻿00:25:a6:a4:f4:82,﻿ollehWiFi,﻿1009000922,﻿신반포,﻿1009,﻿-67
﻿00:40:5a:af:24:33,﻿FREE_U+zone,﻿1009000922,﻿신반포,﻿1009,﻿-62
﻿12:16:1f:03:6d:ae,﻿T wifi zone_secure,﻿1009000922,﻿신반포,﻿1009,﻿-74
﻿00:25:a6:a4:f9:00,﻿ollehWiFi,﻿1009000922,﻿신반포,﻿1009,﻿-69
﻿00:40:5a:af:2c:c3,﻿FREE_U+zone,﻿1009000922,﻿신반포,﻿1009,﻿-68
﻿00:25:a6:a4:f8:ff,﻿ollehWiFi,﻿1009000922,﻿신반포,﻿1009,﻿-70
﻿00:40:5a:af:2c:c2,﻿U+zone,﻿1009000922,﻿신반포,﻿1009,﻿-71
﻿00:40:5a:af:2d:82,﻿U+zone,﻿1009000922,﻿신반포,﻿1009,﻿-80
﻿02:30:0d:58:91:d8,﻿ollehWiFi,﻿1009000922,﻿신반포,﻿1009,﻿-88
﻿00:30:0d:84:54:f0,﻿T wifi zone,﻿1003000340,﻿교대,﻿1003,﻿-80
﻿0a:30:0d:84:54:f2,﻿T wifi zone_secure,﻿1003000340,﻿교대,﻿1003,﻿-80
﻿00:30:0d:84:f7:20,﻿T wifi zone,﻿1003000340,﻿교대,﻿1003,﻿-50
﻿06:17:b2:04:42:a6,﻿T wifi zone_secure,﻿1003000340,﻿교대,﻿1003,﻿-88
﻿04:17:b2:04:42:a4,﻿T wifi zone,﻿1003000340,﻿교대,﻿1003,﻿-90
﻿00:07:89:0f:d9:bd,﻿ollehWiFi,﻿1003000340,﻿교대,﻿1003,﻿-72
﻿00:07:89:0f:d9:d9,﻿ollehWiFi,﻿1003000340,﻿교대,﻿1003,﻿-79
﻿06:30:0d:84:54:e2,﻿T wifi zone_secure,﻿1003000340,﻿교대,﻿1003,﻿-77
﻿06:30:0d:84:f9:02,﻿T wifi zone_secure,﻿1003000340,﻿교대,﻿1003,﻿-89
﻿02:07:89:0f:d9:d9,﻿ollehWiFi,﻿1003000340,﻿교대,﻿1003,﻿-79
﻿02:17:b2:02:42:a6,﻿T wifi zone_secure,﻿1003000340,﻿교대,﻿1003,﻿-74
﻿0a:30:0d:84:f9:12,﻿T wifi zone_secure,﻿1003000340,﻿교대,﻿1003,﻿-90
﻿02:17:b2:02:42:a4,﻿T wifi zone_1,﻿1003000340,﻿교대,﻿1003,﻿-77
﻿00:30:0d:84:f9:10,﻿T wifi zone,﻿1003000340,﻿교대,﻿1003,﻿-90
﻿0a:30:0d:75:cf:91,﻿T wifi zone_secure,﻿1006000635,﻿신당,﻿1006,﻿-79
﻿02:17:b2:02:71:0e,﻿T wifi zone_secure,﻿1006000635,﻿신당,﻿1006,﻿-80
﻿00:30:0d:84:43:00,﻿T wifi zone_1,﻿1007000713,﻿노원,﻿1007,﻿-93
﻿00:07:89:0f:d8:b0,﻿ollehWiFi,﻿1007000713,﻿노원,﻿1007,﻿-70
﻿06:17:b2:04:72:12,﻿T wifi zone_secure,﻿1007000713,﻿노원,﻿1007,﻿-94
﻿04:17:b2:04:72:10,﻿T wifi zone,﻿1007000713,﻿노원,﻿1007,﻿-92
﻿12:16:1f:03:80:6b,﻿T wifi zone_secure,﻿1007000712,﻿마들,﻿1007,﻿-51
﻿12:16:1f:03:80:6a,﻿T wifi zone_secure,﻿1007000712,﻿마들,﻿1007,﻿-62
﻿00:25:a6:a4:37:ad,﻿ollehWiFi,﻿1007000712,﻿마들,﻿1007,﻿-61
﻿00:40:5a:bf:c0:ca,﻿U+zone,﻿1007000712,﻿마들,﻿1007,﻿-61
﻿12:16:1f:03:6a:17,﻿T wifi zone_secure,﻿1007000712,﻿마들,﻿1007,﻿-74
﻿12:16:1f:03:6a:16,﻿T wifi zone_secure,﻿1007000712,﻿마들,﻿1007,﻿-86
﻿00:16:1f:03:80:6b,﻿T wifi zone,﻿1007000712,﻿마들,﻿1007,﻿-54
﻿00:16:1f:03:80:6a,﻿T wifi zone_1,﻿1007000712,﻿마들,﻿1007,﻿-66
﻿00:25:a6:a4:37:ae,﻿ollehWiFi,﻿1007000712,﻿마들,﻿1007,﻿-60
﻿00:40:5a:bf:c0:cb,﻿FREE_U+zone,﻿1007000712,﻿마들,﻿1007,﻿-62
﻿12:16:1f:03:5c:47,﻿T wifi zone_secure,﻿1007000712,﻿마들,﻿1007,﻿-91
﻿00:16:1f:03:6a:16,﻿T wifi zone_1,﻿1007000712,﻿마들,﻿1007,﻿-84
﻿00:16:1f:03:5c:47,﻿T wifi zone,﻿1007000712,﻿마들,﻿1007,﻿-92
﻿00:16:1f:03:6a:17,﻿T wifi zone,﻿1007000712,﻿마들,﻿1007,﻿-73
﻿00:25:a6:a5:1b:32,﻿ollehWiFi,﻿1007000712,﻿마들,﻿1007,﻿-75
﻿00:25:a6:a4:56:b1,﻿ollehWiFi,﻿1007000712,﻿마들,﻿1007,﻿-80
﻿58:08:fa:00:2f:ba,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-78
﻿5a:08:fa:00:40:86,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-86
﻿10:e3:c7:04:2c:f4,﻿T wifi zone,﻿1075075212,﻿압구정로데오,﻿1075,﻿-73
﻿12:e3:c7:04:2c:e3,﻿T wifi zone_secure,﻿1075075212,﻿압구정로데오,﻿1075,﻿-39
﻿58:08:fa:00:30:26,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-41
﻿12:e3:c7:04:2c:8c,﻿T wifi zone_secure,﻿1075075212,﻿압구정로데오,﻿1075,﻿-67
﻿58:08:fa:00:40:87,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-75
﻿10:e3:c7:04:2c:e4,﻿T wifi zone,﻿1075075212,﻿압구정로데오,﻿1075,﻿-41
﻿10:e3:c7:04:2c:e3,﻿T wifi zone_1,﻿1075075212,﻿압구정로데오,﻿1075,﻿-36
﻿10:e3:c7:04:2c:f3,﻿T wifi zone_1,﻿1075075212,﻿압구정로데오,﻿1075,﻿-65
﻿10:e3:c7:04:2a:23,﻿T wifi zone_1,﻿1075075212,﻿압구정로데오,﻿1075,﻿-74
﻿10:e3:c7:04:2c:df,﻿T wifi zone_1,﻿1075075212,﻿압구정로데오,﻿1075,﻿-71
﻿5a:08:fa:00:40:87,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-74
﻿0e:0e:47:01:24:32,﻿FREE_U+zone,﻿1075075212,﻿압구정로데오,﻿1075,﻿-74
﻿58:08:fa:00:2f:d6,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-85
﻿58:08:fa:00:40:86,﻿ollehWiFi,﻿1075075212,﻿압구정로데오,﻿1075,﻿-74
