철도운영기관명,선명,역명,승강장번호,상하행구분,지상구분,역층,승강장연결 여부,스크린도어 유무,안전발판 유무
구리도시공사,8호선,장자호수공원,1,상행,지하,2,N,Y,N
구리도시공사,8호선,장자호수공원,2,하행,지하,2,N,Y,N
구리도시공사,8호선,동구릉,1,상행,지하,2,N,Y,N
구리도시공사,8호선,구리,1,상행,지하,2,N,Y,N
구리도시공사,8호선,구리,2,하행,지하,2,N,Y,N
구리도시공사,8호선,동구릉,2,하행,지하,2,N,Y,N
남양주도시공사,8호선,다산,2,하행,지하,2,N,Y,N
남양주도시공사,8호선,별내,2,하행,지하,2,N,Y,N
남양주도시공사,8호선,별내,1,상행,지하,2,N,Y,N
남양주도시공사,8호선,다산,1,상행,지하,2,N,Y,N
서울교통공사,8호선,복정,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,장지,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,문정,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,가락시장,1,상행,지하,3,Y,Y,N
서울교통공사,8호선,송파,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,석촌,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,잠실(송파구청),1,상행,지하,3,N,Y,Y
서울교통공사,8호선,몽촌토성(평화의문),1,상행,지하,3,Y,Y,Y
서울교통공사,8호선,강동구청,1,상행,지하,3,Y,Y,N
서울교통공사,8호선,천호(풍납토성),1,상행,지하,2,Y,Y,N
서울교통공사,8호선,수진,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,단대오거리,1,상행,지하,3,Y,Y,Y
서울교통공사,8호선,남한산성입구(성남법원.검찰청),1,상행,지하,3,Y,Y,N
서울교통공사,8호선,암사,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,암사역사공원,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,암사역사공원,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,남위례,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,남위례,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,신흥,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,단대오거리,2,하행,지하,3,Y,Y,Y
서울교통공사,8호선,남한산성입구(성남법원.검찰청),2,하행,지하,3,Y,Y,N
서울교통공사,8호선,모란,2,하행,지하,3,Y,Y,N
서울교통공사,8호선,수진,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,복정,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,장지,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,문정,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,가락시장,2,하행,지하,3,Y,Y,N
서울교통공사,8호선,송파,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,석촌,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,잠실(송파구청),2,하행,지하,3,N,Y,Y
서울교통공사,8호선,몽촌토성(평화의문),2,하행,지하,3,Y,Y,Y
서울교통공사,8호선,강동구청,2,하행,지하,3,Y,Y,N
서울교통공사,8호선,천호(풍납토성),2,하행,지하,2,Y,Y,N
서울교통공사,8호선,암사,2,하행,지하,2,Y,Y,N
서울교통공사,8호선,산성,2,하행,지하,4,Y,Y,Y
서울교통공사,8호선,신흥,1,상행,지하,2,Y,Y,N
서울교통공사,8호선,모란,1,상행,지하,3,Y,Y,N
서울교통공사,8호선,산성,1,상행,지하,4,Y,Y,Y
