철도운영기관명,선명,역명,지상구분,역층,역층구분,면적
우이신설경전철주식회사,우이신설,4.19민주묘지,지상,1,연결통로,166.27
우이신설경전철주식회사,우이신설,4.19민주묘지,지하,1,승강장,1006.14
우이신설경전철주식회사,우이신설,가오리,지상,1,연결통로,
우이신설경전철주식회사,우이신설,가오리,지하,1,승강장,
우이신설경전철주식회사,우이신설,보문,지하,1,연결통로,
우이신설경전철주식회사,우이신설,보문,지하,4,승강장,
우이신설경전철주식회사,우이신설,북한산보국문,지하,1,연결통로,
우이신설경전철주식회사,우이신설,북한산보국문,지하,2,승강장,
우이신설경전철주식회사,우이신설,북한산우이,지하,1,승강장,1587.3
우이신설경전철주식회사,우이신설,삼양,지하,2,연결통로,
우이신설경전철주식회사,우이신설,삼양,지하,3,승강장,
우이신설경전철주식회사,우이신설,삼양사거리,지하,2,연결통로,
우이신설경전철주식회사,우이신설,삼양사거리,지하,3,승강장,
우이신설경전철주식회사,우이신설,성신여대입구,지하,4,승강장,726
우이신설경전철주식회사,우이신설,성신여대입구,지하,3,연결통로,611.66
우이신설경전철주식회사,우이신설,솔밭공원,지하,3,승강장,
우이신설경전철주식회사,우이신설,솔밭공원,지상,1,연결통로,
우이신설경전철주식회사,우이신설,솔밭공원,지하,2,대합실,
우이신설경전철주식회사,우이신설,솔샘,지하,3,연결통로,
우이신설경전철주식회사,우이신설,솔샘,지하,4,승강장,
우이신설경전철주식회사,우이신설,신설동,지하,1,연결통로,
우이신설경전철주식회사,우이신설,신설동,지하,2,승강장,
우이신설경전철주식회사,우이신설,정릉,지하,3,연결통로,397.89
우이신설경전철주식회사,우이신설,정릉,지하,1,연결통로,916.06
우이신설경전철주식회사,우이신설,정릉,지하,4,승강장,399.66
우이신설경전철주식회사,우이신설,화계,지하,1,승강장,
우이신설경전철주식회사,우이신설,화계,지하,2,연결통로,
우이신설경전철주식회사,우이신설,화계,지상,1,대합실,
