"선명","역명","지상구분","역층"
"공항","검암","지상","2"
"공항","검암","지상","2"
"공항","계양","지상","2"
"공항","계양","지상","2"
"공항","공덕","지하","5"
"공항","공덕","지하","5"
"공항","공항화물청사","지하","2"
"공항","공항화물청사","지하","2"
"공항","김포공항","지하","3"
"공항","김포공항","지하","4"
"공항","디지털미디어시티","지하","3"
"공항","디지털미디어시티","지하","3"
"공항","디지털미디어시티","지하","3"
"공항","디지털미디어시티","지하","3"
"공항","마곡나루","지하","2"
"공항","마곡나루","지하","2"
"공항","서울역","지하","7"
"공항","서울역","지하","7"
"공항","서울역","지하","7"
"공항","영종","지상","1"
"공항","영종","지상","1"
"공항","운서","지상","2"
"공항","운서","지상","2"
"공항","인천공항1터미널","지하","4"
"공항","인천공항1터미널","지하","4"
"공항","인천공항2터미널","지하","3"
"공항","인천공항2터미널","지하","3"
"공항","인천공항2터미널","지하","3"
"공항","청라국제도시","지상","1"
"공항","청라국제도시","지상","1"
"공항","홍대입구","지하","4"
"공항","홍대입구","지하","4"
