"선명","역명","지상구분","역층"
"수인분당","수내(한국잡월드)","지하","1"
"수인분당","수내(한국잡월드)","지하","1"
"수인분당","오목천","지하","2"
"수인분당","오목천","지하","2"
"수인분당","송도","지상","1"
"수인분당","송도","지상","1"
"수인분당","송도","지상","1"
"수인분당","송도","지상","1"
"수인분당","인천","지하","2"
"수인분당","인천","지하","2"
"수인분당","청량리","지상","1"
"수인분당","청량리","지상","1"
"수인분당","압구정로데오","지하","5"
"수인분당","압구정로데오","지하","5"
"수인분당","선정릉(한국과학창의재단)","지하","5"
"수인분당","선정릉(한국과학창의재단)","지하","5"
"수인분당","선릉","지하","3"
"수인분당","선릉","지하","3"
"수인분당","개포동","지하","5"
"수인분당","개포동","지하","4"
"수인분당","복정(동서울대학)","지하","3"
"수인분당","복정(동서울대학)","지하","3"
"수인분당","가천대","지하","2"
"수인분당","가천대","지하","2"
"수인분당","태평","지하","2"
"수인분당","태평","지하","2"
"수인분당","모란","지하","2"
"수인분당","모란","지하","2"
"수인분당","서현","지하","2"
"수인분당","서현","지하","2"
"수인분당","정자","지하","1"
"수인분당","정자","지하","1"
"수인분당","미금(분당서울대병원)","지하","2"
"수인분당","미금(분당서울대병원)","지하","2"
"수인분당","오리","지하","2"
"수인분당","오리","지하","2"
"수인분당","죽전(단국대)","지상","2"
"수인분당","죽전(단국대)","지상","2"
"수인분당","보정","지하","3"
"수인분당","보정","지하","3"
"수인분당","신갈","지하","4"
"수인분당","신갈","지하","4"
"수인분당","상갈(루터대학교)","지하","3"
"수인분당","상갈(루터대학교)","지하","3"
"수인분당","청명","지하","2"
"수인분당","청명","지하","2"
"수인분당","영통(경희대)","지하","2"
"수인분당","영통(경희대)","지하","2"
"수인분당","망포","지하","2"
"수인분당","망포","지하","2"
"수인분당","망포","지하","2"
"수인분당","망포","지하","2"
"수인분당","수원시청(경기도문화의전당)","지하","4"
"수인분당","수원시청(경기도문화의전당)","지하","4"
"수인분당","매교","지하","3"
"수인분당","매교","지하","3"
"수인분당","수원","지하","4"
"수인분당","수원","지하","4"
"수인분당","고색","지하","2"
"수인분당","고색","지하","2"
"수인분당","어천","지상","2"
"수인분당","어천","지상","2"
"수인분당","야목","지상","2"
"수인분당","야목","지상","2"
"수인분당","사리","지하","1"
"수인분당","사리","지하","1"
"수인분당","한대앞","지상","1"
"수인분당","한대앞","지상","1"
"수인분당","중앙","지상","2"
"수인분당","중앙","지상","2"
"수인분당","고잔","지상","2"
"수인분당","고잔","지상","2"
"수인분당","초지","지상","2"
"수인분당","초지","지상","2"
"수인분당","안산","지상","1"
"수인분당","안산","지상","1"
"수인분당","신길온천","지상","1"
"수인분당","신길온천","지상","1"
"수인분당","정왕","지상","2"
"수인분당","정왕","지상","2"
"수인분당","오이도","지상","1"
"수인분당","오이도","지상","1"
"수인분당","월곶","지상","2"
"수인분당","월곶","지상","2"
"수인분당","소래포구","지상","3"
"수인분당","소래포구","지상","3"
"수인분당","남동인더스파크","지상","2"
"수인분당","남동인더스파크","지상","2"
"수인분당","원인재","지상","2"
"수인분당","원인재","지상","2"
"수인분당","신포","지하","2"
"수인분당","신포","지하","2"
"수인분당","왕십리","지상","1"
"수인분당","왕십리","지상","1"
"수인분당","서울숲","지하","4"
"수인분당","서울숲","지하","4"
"수인분당","강남구청","지하","5"
"수인분당","강남구청","지하","5"
"수인분당","한티","지하","4"
"수인분당","한티","지하","4"
"수인분당","도곡","지하","6"
"수인분당","도곡","지하","6"
"수인분당","구룡","지하","6"
"수인분당","구룡","지하","6"
"수인분당","대모산입구","지하","5"
"수인분당","대모산입구","지하","5"
"수인분당","수서","지하","1"
"수인분당","수서","지하","1"
"수인분당","야탑","지하","2"
"수인분당","야탑","지하","2"
"수인분당","이매(성남아트센터)","지하","2"
"수인분당","이매(성남아트센터)","지하","2"
"수인분당","구성","지하","3"
"수인분당","구성","지하","3"
"수인분당","기흥(백남준아트센터)","지하","3"
"수인분당","기흥(백남준아트센터)","지하","3"
"수인분당","매탄권선","지하","3"
"수인분당","매탄권선","지하","3"
"수인분당","달월","지상","2"
"수인분당","달월","지상","2"
"수인분당","인천논현","지상","3"
"수인분당","인천논현","지상","3"
"수인분당","호구포","지상","2"
"수인분당","호구포","지상","2"
"수인분당","연수","지상","3"
"수인분당","연수","지상","3"
"수인분당","인하대","지하","2"
"수인분당","인하대","지하","2"
"수인분당","숭의(인하대병원)","지하","2"
"수인분당","숭의(인하대병원)","지하","2"
