"선명","역명","지상구분","역층"
"8호선","장자호수공원","지하","2"
"8호선","장자호수공원","지하","2"
"8호선","동구릉","지하","2"
"8호선","구리","지하","2"
"8호선","구리","지하","2"
"8호선","동구릉","지하","2"
"8호선","다산","지하","2"
"8호선","별내","지하","2"
"8호선","별내","지하","2"
"8호선","다산","지하","2"
"8호선","복정","지하","2"
"8호선","장지","지하","2"
"8호선","문정","지하","2"
"8호선","가락시장","지하","3"
"8호선","송파","지하","2"
"8호선","석촌","지하","2"
"8호선","잠실(송파구청)","지하","3"
"8호선","몽촌토성(평화의문)","지하","3"
"8호선","강동구청","지하","3"
"8호선","천호(풍납토성)","지하","2"
"8호선","수진","지하","2"
"8호선","단대오거리","지하","3"
"8호선","남한산성입구(성남법원.검찰청)","지하","3"
"8호선","암사","지하","2"
"8호선","암사역사공원","지하","2"
"8호선","암사역사공원","지하","2"
"8호선","남위례","지하","2"
"8호선","남위례","지하","2"
"8호선","신흥","지하","2"
"8호선","단대오거리","지하","3"
"8호선","남한산성입구(성남법원.검찰청)","지하","3"
"8호선","모란","지하","3"
"8호선","수진","지하","2"
"8호선","복정","지하","2"
"8호선","장지","지하","2"
"8호선","문정","지하","2"
"8호선","가락시장","지하","3"
"8호선","송파","지하","2"
"8호선","석촌","지하","2"
"8호선","잠실(송파구청)","지하","3"
"8호선","몽촌토성(평화의문)","지하","3"
"8호선","강동구청","지하","3"
"8호선","천호(풍납토성)","지하","2"
"8호선","암사","지하","2"
"8호선","산성","지하","4"
"8호선","신흥","지하","2"
"8호선","모란","지하","3"
"8호선","산성","지하","4"
