"호선","역명","형식","층수"
"1","서울","섬식","B2"
"1","시청","상대식","B2"
"1","종각","상대식","B2"
"1","종로3가","상대식","B2"
"1","종로5가","상대식","B2"
"1","동대문","상대식","B2"
"1","동묘앞","상대식","5FB2"
"1","신설동","상대식","B2"
"1","제기동","상대식","B2"
"1","청량리","섬식","B2"
"2","시청","섬식","B3"
"2","을지로입구","상대식","B2"
"2","을지로3가","상대식","B2"
"2","을지로4가","상대식","B2"
"2","동대문역사문화공원","상대식","B2"
"2","신당","상대식","B2"
"2","상왕십리","상대식","B2"
"2","왕십리","상대식","B2"
"2","한양대","상대식","2F"
"2","뚝섬","상대식","3F"
"2","성수","복합식","3F"
"2","건대입구","상대식","3F"
"2","구의","상대식","3F"
"2","강변","상대식","2F"
"2","잠실나루","상대식","2F"
"2","잠실","상대식","B2"
"2","잠실새내","상대식","B2"
"2","종합운동장","상대식","B2"
"2","삼성","섬식","B2"
"2","선릉","상대식","B2"
"2","역삼","상대식","B3"
"2","강남","상대식","B2"
"2","교대","상대식","B2"
"2","서초","상대식","B2"
"2","방배","상대식","B2"
"2","사당","상대식","B2"
"2","낙성대","상대식","B2"
"2","서울대입구","섬식","B2"
"2","봉천","섬식","B2"
"2","신림","섬식","B2"
"2","신대방","상대식","3F"
"2","구로디지털단지","상대식","3F"
"2","대림","상대식","3F"
"2","신도림","복합식","B2"
"2","문래","상대식","B2"
"2","영등포구청","상대식","B2"
"2","당산","상대식","3F"
"2","합정","상대식","B2"
"2","홍대입구","섬식","B2"
"2","신촌","상대식","B2"
"2","이대","섬식","B2"
"2","아현","상대식","B2"
"2","충정로","섬식","B3"
"2","용답","상대식","2F"
"2","신답","상대식","1F"
"2","용두","상대식","B1"
"2","신설동","상대식","B2"
"2","도림천","상대식","2FB3"
"2","양천구청","상대식","B2"
"2","신정네거리","상대식","B3"
"3","지축","섬식","2F"
"3","구파발","섬식","B2"
"3","연신내","섬식","B2"
"3","불광","상대식","B2"
"3","녹번","섬식","B2"
"3","홍제","섬식","B3"
"3","무악재","상대식","B3"
"3","독립문","섬식","B3"
"3","경복궁","섬식","B3"
"3","안국","섬식","B3"
"3","종로3가","섬식","B4"
"3","을지로3가","섬식","B3"
"3","충무로","섬식","B4"
"3","동대입구","섬식","B3"
"3","약수","섬식","B2"
"3","금호","섬식","B2"
"3","옥수","상대식","4F"
"3","압구정","상대식","B2"
"3","신사","상대식","B2"
"3","잠원","상대식","B2"
"3","고속터미널","상대식","B3"
"3","교대","섬식","B3"
"3","남부터미널","상대식","B3"
"3","양재","상대식","B2"
"3","매봉","상대식","B2"
"3","도곡","상대식","B4"
"3","대치","섬식","B4"
"3","학여울","상대식","1FB5"
"3","대청","상대식","B3"
"3","일원","상대식","B3"
"3","수서","복합식","B2"
"3","가락시장","상대식","B4"
"3","경찰병원","상대식","B3"
"3","오금","상대식","B4"
"4","불암산","상대식","3F"
"4","상계","상대식","3F"
"4","노원","상대식","3F"
"4","창동","상대식","3F"
"4","쌍문","상대식","B2"
"4","수유","상대식","B2"
"4","미아","상대식","B2"
"4","미아사거리","상대식","B2"
"4","길음","섬식","B2"
"4","성신여대입구","상대식","B2"
"4","한성대입구","섬식","B2"
"4","혜화","상대식","B2"
"4","동대문","섬식","B4"
"4","동대문역사문화공원","섬식","B3"
"4","충무로","상대식","B3"
"4","명동","섬식","B4"
"4","회현","섬식","B4"
"4","서울","섬식","B2"
"4","숙대입구","상대식","B2"
"4","삼각지","상대식","B2"
"4","신용산","상대식","B2"
"4","이촌","상대식","B2"
"4","동작","상대식","3F"
"4","총신대입구","상대식","B2"
"4","사당","섬식","B3"
"4","남태령","섬식","B3"
"5","방화","복합식","B2"
"5","개화산","상대식","2FB2"
"5","김포공항","상대식","B3"
"5","송정","상대식","B3"
"5","마곡","상대식","B2"
"5","발산","상대식","B2"
"5","우장산","상대식","B2"
"5","화곡","섬식","B2"
"5","까치산","상대식","B5"
"5","신정","상대식","B3"
"5","목동","상대식","B2"
"5","오목교","상대식","B3"
