"호선","역명","형식","층수","비고"
"1","서울","섬식","B2","4호선,경의중앙선,공항철도환승"
"1","시청","상대식","B2","2호선환승"
"1","종각","상대식","B2",""
"1","종로3가","상대식","B2","3,5호선환승"
"1","종로5가","상대식","B2",""
"1","동대문","상대식","B2","4호선환승"
"1","동묘앞","상대식","B1","6호선환승"
"1","신설동","상대식","B2","2호선(지선),우이신설선환승"
"1","제기동","상대식","B2",""
"1","청량리","섬식","B2","분당선,경의중앙선,경춘선환승"
"2","시청","섬식","B3","1호선환승"
"2","을지로입구","상대식","B2",""
"2","을지3가","상대식","B2","3호선환승"
"2","을지4가","상대식","B2","5호선환승"
"2","동대문역사문화공원","상대식","B2","4,5호선환승"
"2","신당","상대식","B2","6호선환승"
"2","상왕십리","상대식","B2",""
"2","왕십리","상대식","B2","5호선,분당선,경의중앙선환승"
"2","한양대","상대식","B2",""
"2","뚝섬","상대식","고가",""
"2","성수","섬식","고가","2호선(지선)환승"
"2","건대입구","상대식","고가","7호선환승"
"2","구의","상대식","고가",""
"2","강변","상대식","고가",""
"2","잠실나루","상대식","고가",""
"2","잠실","상대식","B2","8호선환승"
"2","잠실새내","상대식","B2",""
"2","종합운동장","상대식","B2","9호선환승"
"2","삼성 ","섬식","B2",""
"2","선릉","상대식","B2","분당선환승"
"2","역삼","상대식","B3",""
"2","강남","상대식","B2","신분당선환승"
"2","교대","상대식","B2","3호선환승"
"2","서초","상대식","B2",""
"2","방배","상대식","B2",""
"2","사당","상대식","B2","4호선환승"
"2","낙성대","상대식","B2",""
"2","서울대입구","섬식","B2",""
"2","봉천","섬식","B2",""
"2","신림","섬식","B2","신림선환승"
"2","신대방","상대식","고가",""
"2","구로디지털","상대식","고가",""
"2","대림","상대식","고가","7호선환승"
"2","신도림","섬식","B2","2호선(지선).국철환승"
"2","문래","상대식","B2",""
"2","영등포구청","상대식","B2","5호선환승"
"2","당산","상대식","고가","9호선환승"
"2","합정","상대식","B2","6호선환승"
"2","홍대입구","섬식","B2","경의중앙선,공항철도환승"
"2","신촌","상대식","B2",""
"2","이대","섬식","B2",""
"2","아현","상대식","B2",""
"2","충정로","섬식","B3","5호선환승"
"2","신설동","상대식","B3","우이신설선,1호선환승"
"2","용두","상대식","B2",""
"2","신답","상대식","지상",""
"2","용답","상대식","지상",""
"2","도림천","상대식","B3",""
"2","양천구청","상대식","B2",""
"2","신정네거리","상대식","B3",""
"2","까치산","상대식","B5","5호선환승"
"3","지축","섬식","고가",""
"3","구파발","섬식","B2",""
"3","연신내","섬식","B2","6호선환승"
"3","불광","상대식","B2","6호선환승"
"3","녹번","섬식","B2",""
"3","홍제","섬식","B3",""
"3","무악재","상대식","B3",""
"3","독립문","섬식","B3",""
"3","경복궁","섬식","B3",""
"3","안국","섬식","B4",""
"3","종로3가","섬식","B4","1,5호선환승"
"3","을지로3가","섬식","B3","2호선환승"
"3","충무로","섬식","B4","4호선환승"
"3","동대입구","섬식","B3",""
"3","약수","섬식","B3","6호선환승"
"3","금호","섬식","B2",""
"3","옥수","상대식","고가","경의중앙선환승"
"3","압구정","상대식","B2",""
"3","신사","상대식","B2",""
"3","잠원","상대식","B2",""
"3","고속터미널","상대식","B3","7,9호선환승"
"3","교대","섬식","B3","2호선환승"
"3","남부터미널","상대식","B3",""
"3","양재","상대식","B2","신분당선환승"
"3","매봉","상대식","B2",""
"3","도곡","상대식","B4","분당선환승"
"3","대치","섬식","B4",""
"3","학여울","상대식","B5",""
"3","대청","상대식","B3",""
"3","일원","상대식","B3",""
"3","수서","상대식","B2","분당선, GTX-A환승"
"3","가락시장","상대식","B4","8호선환승"
"3","경찰병원","상대식","B3",""
"3","오금","상대식","B4","5호선환승"
"4","당고개","상대식","고가",""
"4","상계","상대식","고가",""
"4","노원","상대식","고가","7호선환승"
"4","창동","상대식","고가","국철환승"
"4","쌍문","상대식","B2",""
"4","수유","상대식","B2",""
"4","미아","상대식","B2",""
"4","미아삼거리","상대식","B2",""
"4","길음","섬식","B2",""
"4","성신여대입구","상대식","B2","우이신설선환승"
"4","한성대입구","섬식","B2",""
"4","혜화","상대식","B2",""
"4","동대문","섬식","B4","1호선환승"
"4","동대문역사문화공원","섬식","B3","2,5호선환승"
"4","충무로","상대식","B3","3호선환승"
"4","명동","섬식","B4",""
"4","회현","섬식","B4",""
"4","서울역","섬식","B2","1호선,경의중앙선,공항철도환승"
"4","숙대입구","상대식","B2",""
"4","삼각지","상대식","B2","6호선환승"
"4","신용산","상대식","B2",""
"4","이촌","상대식","B2","경의중앙선환승"
"4","동작","상대식","고가","9호선환승"
"4","총신대입구","상대식","B2","7호선환승"
"4","사당","섬식","B3","2호선환승"
"4","남태령","섬식","B3",""
"5","방화","섬식","B2",""
"5","개화산","상대식","B2",""
"5","김포공항","상대식","B3","9호선,공항철도,김포골드라인환승"
"5","송정","상대식","B3",""
"5","마곡","상대식","B2",""
"5","발산","상대식","B2",""
"5","우장산","상대식","B2",""
"5","화곡","섬식","B3",""
"5","까치산","상대식","B5","2호선(지선)환승"
"5","신정","상대식","B5",""
"5","목동","상대식","B2",""
"5","오목교","상대식","B3",""
"5","양평","상대식","B5",""
"5","영등포구청","상대식","B5","2호선환승"
