"선명","역명","지상구분","역층"
"신분당","강남","지하","4"
"신분당","강남","지하","4"
"신분당","광교(경기대)","지상","2"
"신분당","광교(경기대)","지상","2"
"신분당","광교중앙(아주대)","지하","3"
"신분당","광교중앙(아주대)","지하","3"
"신분당","논현","지하","3"
"신분당","논현","지하","3"
"신분당","동천","지하","3"
"신분당","동천","지하","3"
"신분당","미금(분당서울대병원)","지하","2"
"신분당","미금(분당서울대병원)","지하","2"
"신분당","상현","지하","3"
"신분당","상현","지하","3"
"신분당","성복","지하","3"
"신분당","성복","지하","3"
"신분당","수지구청","지하","3"
"신분당","수지구청","지하","3"
"신분당","신논현","지하","5"
"신분당","신논현","지하","5"
"신분당","신사","지하","4"
"신분당","신사","지하","4"
"신분당","양재(서초구청)","지하","4"
"신분당","양재(서초구청)","지하","4"
"신분당","양재시민의숲(매헌)","지하","3"
"신분당","양재시민의숲(매헌)","지하","3"
"신분당","정자","지하","3"
"신분당","정자","지하","3"
"신분당","청계산입구","지하","3"
"신분당","청계산입구","지하","3"
"신분당","판교(판교테크노밸리)","지하","2"
"신분당","판교(판교테크노밸리)","지하","2"
