"환승시작 호선","환승시작역","환승종료 호선","환승종료역","소요시간"
"1","서울역","4","서울역","03:34"
"1","서울역","4","서울역","03:40"
"1","서울역","4","서울역","03:34"
"1","서울역","4","서울역","03:40"
"1","서울역","airport","서울역","15:56"
"1","서울역","airport","서울역","15:56"
"1","시청","2","시청","04:00"
"1","시청","2","시청","04:00"
"1","시청","2","시청","02:03"
"1","시청","2","시청","02:03"
"1","종로3가","3","종로3가","02:34"
"1","종로3가","3","종로3가","05:19"
"1","종로3가","3","종로3가","03:27"
"1","종로3가","3","종로3가","02:27"
"1","종로3가","5","종로3가","08:24"
"1","종로3가","5","종로3가","07:06"
"1","종로3가","5","종로3가","07:38"
"1","종로3가","5","종로3가","09:14"
"1","동대문","4","동대문","04:13"
"1","동대문","4","동대문","05:25"
"1","동대문","4","동대문","05:09"
"1","동대문","4","동대문","05:28"
"1","신설동","2","신설동","05:00"
"1","신설동","2","신설동","06:45"
"1","신설동","2","신설동","03:27"
"1","신설동","2","신설동","04:12"
"1","청량리","gyeongui","청량리","09:10"
"1","청량리","gyeongui","청량리","05:56"
"1","청량리","gyeongui","청량리","09:10"
"1","청량리","gyeongui","청량리","05:56"
"1","청량리","gyeongchun","청량리","05:56"
"1","청량리","gyeongchun","청량리","05:56"
"1","청량리","gyeongui","청량리","05:40"
"1","청량리","gyeongui","청량리","05:40"
"1","동묘앞","6","동묘앞","03:33"
"1","동묘앞","6","동묘앞","03:33"
"1","동묘앞","6","동묘앞","03:36"
"1","동묘앞","6","동묘앞","03:36"
"1","용산","gyeongui","용산","03:52"
"1","용산","gyeongui","용산","03:42"
"1","용산","gyeongui","용산","03:48"
"1","용산","gyeongui","용산","03:32"
"1","노량진","9","노량진","05:13"
"1","노량진","9","노량진","05:20"
"1","노량진","9","노량진","03:40"
"1","노량진","9","노량진","03:35"
"1","신도림","2","신도림","02:36"
"1","신도림","2","신도림","02:17"
"1","신도림","2","신도림","01:43"
"1","신도림","2","신도림","01:57"
"1","신도림","2","신도림","02:20"
"1","신도림","2","신도림","03:30"
"1","회기","gyeongui","회기","02:03"
"1","회기","gyeongui","회기","02:15"
"1","회기","gyeongui","회기","02:03"
"1","회기","gyeongui","회기","02:21"
"1","회기","gyeongchun","회기","02:09"
"1","회기","gyeongchun","회기","02:09"
"1","회기","gyeongchun","회기","02:09"
"1","회기","gyeongchun","회기","02:09"
"1","석계","6","석계","05:17"
"1","석계","6","석계","05:18"
"1","석계","6","석계","05:19"
"1","석계","6","석계","05:25"
"1","창동","4","창동","02:10"
"1","창동","4","창동","02:11"
"1","창동","4","창동","02:15"
"1","창동","4","창동","02:34"
"1","신길","5","신길","07:05"
"1","신길","5","신길","06:50"
"1","신길","5","신길","07:07"
"1","신길","5","신길","07:18"
"1","가산디지털단지","7","가산디지털단지","04:13"
"1","가산디지털단지","7","가산디지털단지","03:44"
"1","가산디지털단지","7","가산디지털단지","04:02"
"1","가산디지털단지","7","가산디지털단지","05:23"
"1","금천구청","","1750","00:00"
"1","금정","4","금정","01:53"
"1","금정","4","금정","00:03"
"1","금정","4","금정","01:54"
"1","금정","4","금정","00:03"
"1","수원","bundang","수원","04:02"
"1","수원","bundang","수원","05:09"
"1","수원","bundang","수원","05:38"
"1","수원","bundang","수원","04:12"
"1","부평","incheon","부평","07:22"
"1","부평","incheon","부평","07:17"
"1","부평","incheon","부평","07:20"
"1","부평","incheon","부평","07:20"
"1","주안","incheon2","주안","04:06"
"1","주안","incheon2","주안","03:45"
"1","주안","incheon2","주안","03:51"
"1","주안","incheon2","주안","04:11"
"1","소사","seohae","소사","05:35"
"1","소사","seohae","소사","05:08"
"1","온수","7","온수","03:29"
"1","온수","7","온수","03:32"
"1","온수","7","온수","03:49"
"1","온수","7","온수","03:45"
"1","도봉산","7","도봉산","03:43"
"1","도봉산","7","도봉산","05:54"
"1","도봉산","7","도봉산","05:53"
"1","도봉산","7","도봉산","03:37"
"1","회룡","","4603","06:55"
"1","회룡","","4601","04:03"
"1","회룡","","4601","03:25"
"1","회룡","","4603","05:20"
"2","시청","1","시청","04:00"
"2","시청","1","시청","04:00"
"2","시청","1","시청","02:03"
"2","시청","1","시청","02:03"
"2","을지로3가","3","을지로3가","03:28"
"2","을지로3가","3","을지로3가","03:23"
"2","을지로3가","3","을지로3가","02:39"
"2","을지로3가","3","을지로3가","03:28"
"2","을지로4가","5","을지로4가","04:18"
