SSID_MAC주소,지하철역명,지하철호선ID
00:25:a6:a4:f4:82,신반포,1009
00:40:5a:af:24:33,신반포,1009
12:16:1f:03:6d:ae,신반포,1009
00:25:a6:a4:f9:00,신반포,1009
00:40:5a:af:2c:c3,신반포,1009
00:25:a6:a4:f8:ff,신반포,1009
00:40:5a:af:2c:c2,신반포,1009
00:40:5a:af:2d:82,신반포,1009
02:30:0d:58:91:d8,신반포,1009
00:30:0d:84:54:f0,교대,1003
0a:30:0d:84:54:f2,교대,1003
00:30:0d:84:f7:20,교대,1003
06:17:b2:04:42:a6,교대,1003
04:17:b2:04:42:a4,교대,1003
00:07:89:0f:d9:bd,교대,1003
00:07:89:0f:d9:d9,교대,1003
06:30:0d:84:54:e2,교대,1003
06:30:0d:84:f9:02,교대,1003
02:07:89:0f:d9:d9,교대,1003
02:17:b2:02:42:a6,교대,1003
0a:30:0d:84:f9:12,교대,1003
02:17:b2:02:42:a4,교대,1003
00:30:0d:84:f9:10,교대,1003
0a:30:0d:75:cf:91,신당,1006
02:17:b2:02:71:0e,신당,1006
00:30:0d:84:43:00,노원,1007
00:07:89:0f:d8:b0,노원,1007
06:17:b2:04:72:12,노원,1007
04:17:b2:04:72:10,노원,1007
12:16:1f:03:80:6b,마들,1007
12:16:1f:03:80:6a,마들,1007
00:25:a6:a4:37:ad,마들,1007
00:40:5a:bf:c0:ca,마들,1007
12:16:1f:03:6a:17,마들,1007
12:16:1f:03:6a:16,마들,1007
00:16:1f:03:80:6b,마들,1007
00:16:1f:03:80:6a,마들,1007
00:25:a6:a4:37:ae,마들,1007
00:40:5a:bf:c0:cb,마들,1007
12:16:1f:03:5c:47,마들,1007
00:16:1f:03:6a:16,마들,1007
00:16:1f:03:5c:47,마들,1007
00:16:1f:03:6a:17,마들,1007
00:25:a6:a5:1b:32,마들,1007
00:25:a6:a4:56:b1,마들,1007
58:08:fa:00:2f:ba,압구정로데오,1075
5a:08:fa:00:40:86,압구정로데오,1075
10:e3:c7:04:2c:f4,압구정로데오,1075
12:e3:c7:04:2c:e3,압구정로데오,1075
58:08:fa:00:30:26,압구정로데오,1075
12:e3:c7:04:2c:8c,압구정로데오,1075
58:08:fa:00:40:87,압구정로데오,1075
10:e3:c7:04:2c:e4,압구정로데오,1075
10:e3:c7:04:2c:e3,압구정로데오,1075
10:e3:c7:04:2c:f3,압구정로데오,1075
10:e3:c7:04:2a:23,압구정로데오,1075
10:e3:c7:04:2c:df,압구정로데오,1075
5a:08:fa:00:40:87,압구정로데오,1075
0e:0e:47:01:24:32,압구정로데오,1075
58:08:fa:00:2f:d6,압구정로데오,1075
58:08:fa:00:40:86,압구정로데오,1075
12:e3:c7:04:2c:8b,압구정로데오,1075
12:e3:c7:04:2c:df,압구정로데오,1075
5a:08:fa:00:2f:ba,압구정로데오,1075
5a:08:fa:00:2f:bb,압구정로데오,1075
0a:30:0d:84:59:12,강남구청,1075
06:30:0d:84:59:02,강남구청,1075
5a:08:fa:00:17:ef,강남구청,1075
00:30:0d:84:59:00,강남구청,1075
06:30:0d:84:59:42,강남구청,1075
0e:0e:47:01:2b:72,강남구청,1075
0a:30:0d:84:59:52,강남구청,1075
00:30:0d:84:59:40,강남구청,1075
00:30:0d:84:59:50,강남구청,1075
0a:0e:47:01:2b:72,강남구청,1075
06:0e:47:01:2b:72,강남구청,1075
0a:30:0d:84:59:72,강남구청,1075
00:30:0d:84:59:70,강남구청,1075
58:08:fa:00:3f:d7,강남구청,1075
