"호선","환승역명","환승노선","환승소요시간"
"1","서울역","4호선","02:13"
"1","서울역","공항철도","04:18"
"1","서울역","경의중앙선","02:17"
"1","시청","2호선","01:24"
"1","종로3가","3호선","01:38"
"1","종로3가","5호선","04:20"
"1","동대문","4호선","02:42"
"1","동묘앞","6호선","01:20"
"1","신설동","2호선","02:13"
"1","신설동","우이신설선","01:48"
"1","청량리","경의중앙선","02:18"
"1","청량리","경춘선","02:49"
"1","청량리","수인분당선","02:30"
"2","시청","1호선","01:24"
"2","을지로3가","3호선","02:04"
"2","을지로4가","5호선","01:04"
"2","동대문역사문화공원","4호선","00:38"
"2","동대문역사문화공원","5호선","03:15"
"2","신당","6호선","03:22"
"2","왕십리","수인분당선","01:23"
"2","왕십리","5호선","01:12"
"2","왕십리","경의중앙선","00:42"
"2","성수","2호선","00:19"
"2","건대입구","7호선","01:04"
"2","잠실","8호선","02:38"
"2","종합운동장","9호선","01:18"
"2","선릉","수인분당선","01:08"
"2","강남","신분당선","02:58"
"2","교대","3호선","01:03"
"2","사당","4호선","01:02"
"2","신림","신림선","01:13"
"2","대림","7호선","03:50"
"2","신도림","1호선","01:08"
"2","신도림","2호선","01:08"
"2","영등포구청","5호선","01:32"
"2","당산","9호선","01:28"
"2","합정","6호선","01:08"
"2","홍대입구","공항철도","04:56"
"2","홍대입구","경의중앙선","04:14"
"2","충정로","5호선","02:57"
"2","신설동","1호선","02:13"
"2","신설동","우이신설선","03:48"
"3","종로3가","1호선","01:38"
"3","종로3가","5호선","01:38"
"3","을지로3가","2호선","02:04"
"3","교대","2호선","01:03"
"3","양재","신분당선","01:18"
"3","연신내","6호선","02:31"
"3","불광","6호선","01:23"
"3","충무로","4호선","00:14"
"3","약수","6호선","01:48"
"3","옥수","경의중앙선","02:09"
"3","신사","신분당선","01:04"
"3","고속터미널","7호선","02:21"
"3","고속터미널","9호선","02:09"
"3","도곡","수인분당선","01:05"
"3","수서","국철","01:17"
"3","가락시장","8호선","00:29"
"3","오금","5호선","00:54"
"4","서울역","1호선","02:13"
"4","서울역","공항철도","03:07"
"4","서울역","경의중앙선","04:29"
"4","동대문","1호선","02:42"
"4","동대문역사문화공원","2호선","00:38"
"4","동대문역사문화공원","5호선","01:29"
"4","사당","2호선","01:02"
"4","충무로","3호선","00:14"
"4","노원","7호선","03:52"
"4","창동","1호선","01:10"
"4","성신여대입구","우이신설선","00:06"
"4","이촌","경의중앙선","01:05"
"4","삼각지","6호선","02:09"
"4","동작","9호선","03:24"
"4","총신대입구","7호선","02:23"
"5","김포공항","공항철도","01:42"
"5","김포공항","9호선","01:28"
"5","김포공항","김포골드라인","02:47"
"5","김포공항","서해선","01:23"
"5","까치산","2호선","00:14"
"5","영등포구청","2호선","01:32"
"5","신길","1호선","03:22"
"5","여의도","9호선","00:57"
"5","공덕","6호선","01:01"
"5","공덕","공항철도","03:49"
"5","공덕","경의중앙선","02:58"
"5","충정로","2호선","02:57"
"5","종로3가","1호선","04:20"
"5","종로3가","3호선","01:38"
"5","을지로4가","2호선","01:04"
"5","동대문역사문화공원","2호선","03:15"
"5","동대문역사문화공원","4호선","01:29"
"5","청구","6호선","01:27"
"5","왕십리","2호선","01:12"
"5","왕십리","경의중앙선","02:45"
"5","왕십리","수인분당선","03:23"
"5","군자","7호선","01:03"
"5","천호","8호선","00:29"
"5","강동","5호선","00:16"
"5","올림픽공원","9호선","01:18"
"5","오금","3호선","00:54"
"6","신내","경춘선","00:42"
"6","태릉입구","7호선","00:38"
"6","석계","경원선","01:44"
"6","동묘앞","1호선","01:20"
"6","신당","2호선","03:22"
"6","보문","우이신설선","01:13"
"6","청구","5호선","01:27"
"6","약수","3호선","01:48"
"6","삼각지","4호선","02:09"
"6","효창공원앞","경의중앙선","01:32"
"6","공덕","5호선","01:01"
"6","공덕","공항철도","03:41"
"6","공덕","경의중앙선","02:07"
"6","합정","2호선","01:08"
"6","디지털미디어시티","경의중앙선","00:46"
"6","디지털미디어시티","공항철도","02:35"
"6","불광","3호선","01:23"
"6","연신내","3호선","02:31"
"7","도봉산","1호선","00:37"
"7","노원","4호선","03:52"
"7","태릉입구","6호선","00:38"
"7","상봉","경의중앙선","01:23"
"7","상봉","경춘선","01:23"
"7","군자","5호선","01:03"
"7","건대입구","2호선","01:04"
"7","강남구청","수인분당선","01:44"
"7","논현","신분당선","01:07"
"7","고속터미널","3호선","02:21"
"7","고속터미널","9호선","04:22"
"7","이수","4호선","02:23"
"7","보라매","신림선","00:59"
"7","대림","2호선","03:50"
"7","가산디지털단지","1호선","01:32"
"7","온수","1호선","01:25"
"8","천호","5호선","00:29"
"8","석촌","9호선","01:08"
"8","잠실","2호선","02:38"
"8","가락시장","3호선","00:29"
"8","복정","수인분당선","00:13"
"8","모란","수인분당선","01:23"
